date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:30:57	2128/2128	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Nov%202024%2014:23:57%20GMT	https://static.wixstatic.com/media/baac51_09cf1d76e0dc44c4a7b5b71ccfd7c597~mv2_d_2000_1500_s_2.jpg/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/baac51_09cf1d76e0dc44c4a7b5b71ccfd7c597~mv2_d_2000_1500_s_2.jpg	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/static.wixstatic.com/media/baac51_09cf1d76e0dc44c4a7b5b71ccfd7c597_mv2_d_2/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2/baac51_09cf1d76e0dc44c4a7b5b71ccfd7c597_mv2_d_200	(from https://www.wix.com/templateses/cap-hats_es)
09:30:57	2381/2381	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Nov%202024%2014:23:59%20GMT	https://static.wixstatic.com/media/baac51_b0b367782959434382f77ba6947792ea~mv2_d_2000_1500_s_2.jpg/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/baac51_b0b367782959434382f77ba6947792ea~mv2_d_2000_1500_s_2.jpg	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/static.wixstatic.com/media/baac51_b0b367782959434382f77ba6947792ea_mv2_d_2/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2/baac51_b0b367782959434382f77ba6947792ea_mv2_d_200	(from https://www.wix.com/templateses/cap-hats_es)
09:30:57	2135/2135	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Nov%202024%2014:23:59%20GMT	https://static.wixstatic.com/media/baac51_6b27b52f603e464aa0cd8790f03c22f0~mv2_d_2000_1500_s_2.jpg/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/baac51_6b27b52f603e464aa0cd8790f03c22f0~mv2_d_2000_1500_s_2.jpg	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/static.wixstatic.com/media/baac51_6b27b52f603e464aa0cd8790f03c22f0_mv2_d_2/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2/baac51_6b27b52f603e464aa0cd8790f03c22f0_mv2_d_200	(from https://www.wix.com/templateses/cap-hats_es)
09:30:58	2210/2210	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Nov%202024%2014:24:01%20GMT	https://static.wixstatic.com/media/baac51_765ee8d8af0242ef9a28d7f15b982643~mv2_d_2000_1500_s_2.jpg/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/baac51_765ee8d8af0242ef9a28d7f15b982643~mv2_d_2000_1500_s_2.jpg	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/static.wixstatic.com/media/baac51_765ee8d8af0242ef9a28d7f15b982643_mv2_d_2/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2/baac51_765ee8d8af0242ef9a28d7f15b982643_mv2_d_200	(from https://www.wix.com/templateses/cap-hats_es)
09:30:58	2030/2030	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Nov%202024%2014:24:01%20GMT	https://static.wixstatic.com/media/baac51_f4267061a0fe4bb1acee7156275d4206~mv2_d_2000_1500_s_2.jpg/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/baac51_f4267061a0fe4bb1acee7156275d4206~mv2_d_2000_1500_s_2.jpg	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/static.wixstatic.com/media/baac51_f4267061a0fe4bb1acee7156275d4206_mv2_d_2/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2/baac51_f4267061a0fe4bb1acee7156275d4206_mv2_d_200	(from https://www.wix.com/templateses/cap-hats_es)
09:30:58	1272014/1272014	---MCZ	200	added ('OK')	text/html	etag:W/%22be4bf66dab4c41ece46ed0a9039cbf0a%22	https://www.wix.com/templateses/cap-hats_es/product-page/soy-un-producto-6	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/www.wix.com/templateses/cap-hats_es/product-page/soy-un-producto-6.html	(from https://www.wix.com/templateses/cap-hats_es)
09:30:58	2327/2327	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Nov%202024%2014:24:07%20GMT	https://static.wixstatic.com/media/baac51_08eb214d899d45e6a204850dbe5d0e6b~mv2_d_2000_1500_s_2.jpg/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/baac51_08eb214d899d45e6a204850dbe5d0e6b~mv2_d_2000_1500_s_2.jpg	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/static.wixstatic.com/media/baac51_08eb214d899d45e6a204850dbe5d0e6b_mv2_d_2/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2/baac51_08eb214d899d45e6a204850dbe5d0e6b_mv2_d_200	(from https://www.wix.com/templateses/cap-hats_es)
09:30:58	2104/2104	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Nov%202024%2014:24:07%20GMT	https://static.wixstatic.com/media/baac51_a6efca7b18ab4901866d336814d292fc~mv2_d_2000_1500_s_2.jpg/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/baac51_a6efca7b18ab4901866d336814d292fc~mv2_d_2000_1500_s_2.jpg	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/static.wixstatic.com/media/baac51_a6efca7b18ab4901866d336814d292fc_mv2_d_2/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2/baac51_a6efca7b18ab4901866d336814d292fc_mv2_d_200	(from https://www.wix.com/templateses/cap-hats_es)
09:30:58	1272219/1272219	---MCZ	200	added ('OK')	text/html	etag:W/%225fa7ea2bc3fa029b3ba5967cece926be%22	https://www.wix.com/templateses/cap-hats_es/product-page/soy-un-producto-7	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/www.wix.com/templateses/cap-hats_es/product-page/soy-un-producto-7.html	(from https://www.wix.com/templateses/cap-hats_es)
09:30:58	2515/2515	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Nov%202024%2014:24:09%20GMT	https://static.wixstatic.com/media/baac51_8916d233b97e408db6bc3089911d00fc~mv2_d_2000_1500_s_2.jpg/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/baac51_8916d233b97e408db6bc3089911d00fc~mv2_d_2000_1500_s_2.jpg	C:/xampp/htdocs/reacciones/assets/PLANTILLAOMAR/3/omar3/static.wixstatic.com/media/baac51_8916d233b97e408db6bc3089911d00fc_mv2_d_2/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2/baac51_8916d233b97e408db6bc3089911d00fc_mv2_d_200	(from https://www.wix.com/templateses/cap-hats_es)
